,PDB,RFree,Rwork,Resolution,Spacegroup
592,7l8n,0.2069,,1.94,C 2 2 21
593,7a0b,0.2026,,1.77,P 65 2 2
594,1b3t,0.268,,2.2,P 21 21 21
595,4yu3,0.2982,,2.45,C 1 2 1
596,6crc,0.285,,2.3,P 1 21 1
597,6z1l,0.2616,,2.29,P 31 2 1
598,6vvg,0.2248,,2.01,P 21 21 21
599,6b2v,0.21233,,1.55,P 61 2 2
600,4fj4,0.2558,,2.1,P 21 21 21
601,7vwe,0.2321,,3.0,P 1 21 1
602,5t4s,0.258,,2.64,P 21 3
603,8cm4,0.2561,,2.3,P 21 21 21
604,1ywt,0.283,,2.4,C 2 2 21
605,1i60,0.2275,,1.6,P 21 21 2
606,5ck1,0.201,,1.84,C 2 2 21
607,2qrr,0.24,,1.71,C 1 2 1
608,8ayk,0.2112,,1.9,P 21 21 21
609,3lbf,0.247,,1.8,P 1
610,3ahq,0.28231,,2.35,I 2 2 2
611,6b02,0.296,,2.82,P 31 2 1
612,1tku,0.218,,1.66,P 1
613,1ldt,,,1.9,P 43 21 2
614,4qr6,0.157,,1.05,P 1 21 1
615,6b94,0.233,,1.8,P 21 21 21
616,4l5f,0.239,,2.45,P 21 21 21
617,3qa3,0.224,,3.0,P 21 21 21
618,5cn9,0.2198,,1.8,P 1 21 1
619,5icq,0.195,,1.9,C 2 2 21
620,8cnl,0.2798,,2.8,P 1 21 1
621,6t3s,0.2296,,3.28,P 21 21 21
622,6a6j,0.2724,,2.25,C 1 2 1
623,3a7l,0.20513,,1.3,C 1 2 1
624,4lev,0.2016,,1.95,C 1 2 1
625,4i35,0.165,,1.5,P 21 21 21
626,2bnn,0.27,,2.5,P 65 2 2
627,2q9y,0.265,,2.85,P 31 2 1
628,5qdk,0.2096,,1.55,P 31 2 1
629,2i10,0.2452,,2.05,P 21 21 21
630,4a7s,0.20002,,1.06,P 1 21 1
631,4ceo,0.1954,,1.9,P 31
632,5i4i,0.1327,,1.06,C 2 2 21
633,3a72,0.125,,1.04,P 21 21 21
634,3kxx,0.263,,3.2,C 2
635,5yl7,0.155,,1.4,P 21 21 21
636,3qnv,0.182,,1.69,P 63 2 2
637,8qzr,0.2997,,3.77,I 2 3
638,4lb0,0.1919,,1.7,P 42 21 2
639,2bfy,0.226,,1.8,P 1 21 1
640,8aj2,0.2005,,2.2,P 62
641,3w0o,0.21178,,1.5,P 32 2 1
642,7aw3,0.245,,1.99,C 2 2 21
643,2i3r,0.217,,1.85,P 1 21 1
644,4b3s,0.2473,,3.15,P 41 21 2
645,2vtb,0.222,,2.01,P 21 21 21
646,7ci2,0.2675,,2.8,P 31
647,4qji,0.2482,,2.65,P 65
648,2vwt,0.206,,1.93,C 2 2 21
649,6b1q,0.2374,,1.9,P 21 21 2
650,7yz6,0.2203,,2.1,P 1 21 1
651,7krw,0.3164,,7.7,I 2 3
652,3i8u,0.197,,1.48,P 21 21 2
653,5t3j,0.23659,,2.55,P 62 2 2
654,1hxy,0.258,,2.6,C 1 2 1
655,3qs5,0.241,,2.6,C 1 2 1
656,8te7,0.2625,,3.18,P 31 2 1
657,6aol,0.279,,2.76,P 21 21 2
658,3qvx,0.229,,1.9,I 2 2 2
659,7yzq,0.2226,,1.96,P 1
660,6aiq,0.091,,0.85,P 21 21 21
661,6q94,0.235,,2.8,C 2 2 21
662,212l,,,1.76,P 32 2 1
663,3q9g,0.2027,,2.05,I 41 2 2
664,8quq,0.2437,,2.34,C 1 2 1
665,2w37,0.244,,2.1,P 3 2 1
666,3aap,0.20668,,1.6,P 3 2 1
667,5i1c,0.2663,,2.25,P 62 2 2
668,8acf,0.1985,,1.8,P 21 21 21
669,3bq2,0.2891,,2.7,P 41 21 2
670,6t3j,0.282,,3.05,P 1 21 1
671,4ayy,0.19663,,2.6,P 43 21 2
672,5qfs,0.228,,1.85,P 31 2 1
673,3loj,0.177,,1.25,P 63
674,2afo,0.216,,2.35,H 3 2
675,2ce6,0.266,,2.4,P 63 2 2
676,1kto,0.185,,1.9,P 61 2 2
677,3r0i,0.217,,2.1,P 1 21 1
678,6kve,0.22,,1.32,P 21 21 21
679,8af5,0.2104,,1.63,C 1 2 1
680,4l66,0.1942,,1.7,H 3
681,1avu,0.269,,2.3,P 21 21 21
682,2cft,0.226,,1.8,P 43 21 2
683,3kxo,0.22166,,2.1,P 1 21 1
684,3fdd,0.212,,2.35,I 2 3
685,3fgt,0.2075,,2.4,C 1 2 1
686,4qdn,0.1936,,1.7,C 2 2 21
687,7amk,0.2694,,2.2,P 1
688,6bav,0.259,,3.7,P 61
689,1aqm,0.186,,1.85,C 2 2 21
690,1i1p,0.188,,1.63,C 1 2 1
691,8a78,0.1891,,1.6,P 1 21 1
692,6lfl,0.264,,3.2,P 1 21 1
693,5cga,0.19899,,1.87,P 1
694,8t5w,0.2339,,1.65,P 62 2 2
695,5qtw,0.248,,2.12,P 32 2 1
696,6w6d,0.2094,,1.91,I 41
697,8fhu,0.2488,,1.8,P 21 21 21
698,4fig,0.22125,,3.01,P 3
699,5qnk,0.243,,1.9,C 1 2 1
700,3cku,0.251,,1.7,I 2 2 2
701,4ymk,0.2353,,2.6,P 21 21 21
702,2aux,0.253,,2.4,P 43 21 2
703,4fb9,0.1967,,1.75,C 1 2 1
704,5ky7,0.2157,,1.6,P 21 21 21
705,4z2z,0.213,,1.8,P 21 21 21
706,5l94,0.2628,,2.25,P 1 21 1
707,3f7n,0.219,,2.0,P 21 21 21
708,3w6h,0.2833,,2.96,P 21 21 21
709,8fcz,0.3318,,3.7,P 31 2 1
710,3tam,0.249,,2.51,C 2 2 21
711,2yp6,0.1899,,1.77,P 21 21 21
712,6fd8,0.2731,,2.1,P 1
713,5bju,0.23673,,2.0,P 21 21 21
714,5w61,0.252,,2.3,P 21 21 21
715,4bpj,0.2301,,1.6,C 1 2 1
716,5i5q,0.23687,,1.42,P 1
717,3l4c,0.269,,2.37,P 1 21 1
718,6t1q,0.2007,,1.3,C 1 2 1
719,6qwx,0.1934,,1.35,P 43 21 2
720,6yns,0.2841,,3.94,P 21 21 21
721,2ala,0.31868,,3.0,P 64 2 2
722,196l,,,2.3,P 32 2 1
723,3kxy,0.2566,,2.8,P 21 21 21
724,6la0,0.2302,,1.75,P 1 21 1
725,3ll0,0.21,,1.7,P 65 2 2
726,6yn9,0.2512,,2.56,C 1 2 1
727,1ypy,0.246,,1.51,C 1 2 1
728,6w0g,0.245,,2.6,I 4
729,5vw5,0.18,,1.95,P 32 2 1
730,6hza,0.1859,,1.9,P 65 2 2
731,8qfq,0.2132,,2.1,P 21 21 21
732,3qwm,0.27242,,2.39,P 65 2 2
733,4i5z,0.2185,,1.8,I 21 3
734,1cnq,0.227,,2.27,I 2 2 2
735,7amb,0.1902,,1.63,C 1 2 1
736,5lm8,0.2215,,1.7,C 1 2 1
737,3kzh,0.273,,2.45,P 21 21 21
738,4b5w,0.1838,,1.79,P 21 21 21
739,6w01,0.185,,1.9,P 63
740,3te3,0.2898,,2.69,P 65 2 2
741,4qyw,0.268,,1.6,P 21 21 2
742,7f6p,0.2144,,2.15,P 1 21 1
743,3anx,0.263,,2.5,P 43 21 2
744,3bmq,0.178,,1.7,P 1 21 1
745,4aid,0.2545,,2.6,H 3
746,2a77,0.263,,1.8,C 1 2 1
747,3a75,0.262,,1.95,P 21 21 21
748,7bl9,0.1797,,1.3,C 2 2 21
749,1cgc,,,2.2,H 3
750,7bb4,0.1993,,1.7,I 2 2 2
751,2fcx,0.292,,2.0,C 2 2 21
752,7z0g,0.276,,3.49,P 1
753,3t5l,0.255,,2.9,P 21 21 2
754,6qbn,0.2169,,2.4,P 62
755,1z3z,0.266,,2.9,P 64 2 2
756,6w6c,0.243,,2.38,P 21 21 21
757,1aj7,0.258,,2.1,P 1 21 1
758,3fge,0.214,,1.74,C 2 2 21
759,6kqt,0.1813,,2.0,P 31 2 1
760,7bhf,0.2432,,2.0,P 21 21 21
761,6i6t,0.24249,,1.79,P 21 21 21
762,233l,,,1.9,P 32 2 1
763,8cj8,0.273938,,3.49,I 41 2 2
764,7b8c,0.2337,,1.43,P 21 21 21
765,5ang,0.23569,,1.9,P 21 21 21
766,9fe8,0.2063,,2.34,P 21 21 21
767,2b23,0.27211,,2.1,P 1 21 1
768,5ag7,0.2664,,2.6,P 1 21 1
769,2fcm,0.28286,,2.2,P 43 3 2
770,1ywa,,,0.89,C 1 2 1
771,5b3v,0.2576,,2.59,P 1 21 1
772,6fid,0.21952,,2.2,P 21 21 21
773,5fbz,0.181,,1.9,P 1 21 1
774,6a09,0.2334,,2.29,P 2 2 2
775,3bgj,0.20875,,2.0,P 1 21 1
776,8t74,0.1958,,1.65,P 1 21 1
777,6li7,0.2055,,2.1,P 61 2 2
778,1bgj,,,3.0,C 2 2 21
779,5vvh,0.259,,2.5,P 21 21 21
780,4l72,0.253,,3.01,P 61 2 2
781,7fax,0.2384,,1.8,I 4
782,3a6j,0.212,,2.0,P 21 21 21
783,5yub,0.272843,,3.4,I 4 2 2
784,1vzm,0.235,,1.4,P 32 2 1
785,4azv,0.2653,,3.29,I 2 3
786,8a1k,0.2042,,1.75,P 1 21 1
787,5a87,0.1915,,1.5,P 1 21 1
788,2i06,0.2803,,2.2,P 41 21 2
789,4awi,0.21941,,1.91,P 21 21 21
790,7ljb,0.2404,,2.97,P 1 21 1
791,2am1,0.29,,2.5,P 61 2 2
792,2q9l,0.24,,2.2,P 43 21 2
793,3qzw,0.26,,2.8,P 1
794,4i1h,0.2154,,2.0,C 2 2 21
795,5cqp,0.217,,1.83,C 2 2 21
796,4aw0,0.1883,,1.43,C 1 2 1
797,5t28,0.286,,2.8,C 2 2 21
798,8bid,0.2166,,1.75,P 1 21 1
799,8a15,0.1465,,1.23,P 21 21 21
800,5l2t,0.2576,,2.37,I 4
801,5kvj,0.2334,,2.26,H 3
802,6yo5,0.1986,,1.5,P 21 21 21
803,2a6q,0.254,,2.05,P 64
804,5ff6,0.2005,,2.5,P 21 21 21
805,2yv2,0.24,,2.2,C 2 2 21
806,1ab0,0.253,,1.9,P 43 21 2
807,3ay3,0.2886,,2.1,P 63
808,5b5l,0.17386,,1.4,P 32 2 1
809,6tf3,0.2414,,2.66,I 2 2 2
810,2quk,0.29,,2.8,P 6 2 2
811,5i96,0.199,,1.55,P 21 21 21
812,9f5e,0.1886,,1.45,P 1 21 1
813,4yrm,0.242,,2.3,C 1 2 1
814,1f6y,,,2.2,P 21 21 21
815,3w57,0.1819,,1.66,P 1 21 1
816,8a8q,0.2337,,1.47,P 1 21 1
817,8ae5,0.2578,,2.29,C 2 2 21
818,3aa4,0.22125,,1.79,P 21 21 21
819,8awf,0.2017,,1.61,P 21 21 2
820,1a3z,0.272,,1.9,P 1 21 1
821,3i6y,0.22898,,1.75,P 1 21 1
822,8biy,0.223,,1.61,C 2 2 21
823,1t6l,0.268,,1.85,P 61 2 2
824,5lj7,0.2994,,3.25,P 1 21 1
825,3qfe,0.234,,2.35,P 65 2 2
826,3aiq,0.211,,1.9,P 41 3 2
827,7vve,0.1867,,1.98,P 21 21 21
828,9fd3,0.17612,,1.4,P 4 21 2
829,1b41,0.265,,2.76,H 3 2
830,3qqe,0.235,,2.1,P 63
831,3fh5,0.208,,1.63,P 21 21 21
832,3bga,0.234,,2.1,P 1 21 1
833,6f65,0.2071,,1.95,I 2 2 2
834,8bq3,0.2815,,2.66,P 65 2 2
835,4kxh,0.246,,2.7,P 21 21 21
836,5t3l,0.186,,1.58,P 21 21 21
837,2i4t,0.225,,2.74,P 62
838,3ibk,0.231,,2.2,P 31 2 1
839,7qfd,0.2619,,2.35,C 2 2 21
840,8a0f,0.1777,,1.64,P 32 2 1
841,6bfv,0.2355,,1.92,P 21 3
842,2a0x,0.251,,2.28,H 3 2
843,6qix,0.1887,,1.65,P 1 21 1
844,6w7b,0.309,,3.88,P 21 21 21
845,8i7z,0.213408,,2.25,P 21 21 2
846,4r05,0.307,,2.1,P 1
847,7ffr,0.2591,,2.31,P 1 21 1
848,1yx1,0.2019,,1.8,P 21 21 21
849,3aqv,0.28062,,2.08,P 43 21 2
850,8cnf,0.1236,,0.95,P 1 21 1
851,2qhk,0.21274,,1.91,I 4 2 2
852,5azd,0.2777,,2.8,P 1
853,1t44,0.1953,,2.0,P 1 21 1
854,8tf7,0.261,,2.45,P 41 21 2
855,3ff1,0.17,,1.65,P 41 21 2
856,2i0b,0.21055,,1.96,P 43 21 2
857,7cp6,0.2377,,2.2,P 1 21 1
858,7q9l,0.1633,,1.45,P 21 2 21
859,8cg9,0.2313,,1.68,P 21 21 21
860,5lbp,0.2371,,1.76,P 21 21 21
861,8ibi,0.22073,,2.14,P 21 21 2
862,4l7r,0.227,,2.2,P 1 21 1
863,7avp,0.1526,,1.09,P 1 2 1
864,1l60,,,1.7,P 32 2 1
865,1qfx,0.225,,2.4,P 61 2 2
866,8w9g,0.236,,2.6,P 1
867,3w6d,0.2205,,2.15,P 61 2 2
868,9axr,0.3164,,3.3,P 31
869,4kth,0.26634,,2.6,C 1 2 1
870,1bkn,0.3,,2.9,I 21 21 21
871,5b6t,0.17434,,1.48,P 1 21 1
872,6fdh,0.2202,,1.85,P 1 21 1
873,7csz,0.2335,,1.8,P 43
874,7ym9,0.1827,,1.34,P 21 21 2
875,7kt8,0.1912,,1.7,P 21 21 21
876,3bbi,0.238,,2.35,P 61 2 2
877,4i74,0.188,,1.68,C 2 2 21
878,1qq7,0.199,,1.7,P 21 21 21
879,4yt2,0.2179,,1.65,P 21 21 21
880,3lhv,0.25,,1.35,P 1 21 1
881,1tbe,,,2.4,P 1 21 1
882,8tck,0.2396,,2.2,P 21 21 21
883,4bhk,0.24,,2.32,P 21 21 21
884,2w35,0.288,,2.15,I 2 2 2
885,2atb,0.17,,1.6,I 41 2 2
886,7ck1,0.2639,,2.35,P 1 21 1
887,235l,,,1.9,P 32 2 1
888,6qqr,0.203,,1.56,P 21 21 21
889,1yy6,0.23,,1.7,P 41
890,6afr,0.2677,,2.0,P 21 21 21
891,7t4v,0.256,,2.28,P 21 21 21
892,7qlx,0.2278,,1.39,P 1 21 1
893,1vym,0.279,,2.3,C 1 2 1
894,3lox,0.273,,2.65,H 3 2
895,5iax,0.234,,2.1,P 21 21 21
896,7qay,0.2669,,2.09,P 42 21 2
897,2bdq,0.271,,2.3,P 21 21 21
898,2qrd,0.26155,,2.41,C 1 2 1
899,7vw5,0.2405,,2.3,P 1
900,7yp5,0.2591,,2.33,P 41 21 2
901,1z3a,0.216,,2.03,I 41 2 2
902,8qur,0.2635,,2.34,C 1 2 1
903,1l40,,,1.85,P 32 2 1
904,6lab,0.2619,,3.2,P 1 21 1
905,6kw6,0.1922,,1.89,C 1 2 1
906,2w2i,0.236,,2.1,I 2 2 2
907,1a2f,,,2.1,P 21 21 21
908,6kzr,0.2207,,2.3,P 21 21 21
909,7l6y,0.1955,,1.28,C 1 2 1
910,7l5b,0.2387,,3.18,I 1 2 1
911,19hc,,,1.8,P 1 21 1
912,3w1g,0.2336,,2.55,P 2 21 21
913,6qon,0.2061,,1.81,P 21 21 21
914,3ljm,0.2151,,1.36,C 1 2 1
915,3i3t,0.218,,2.59,P 1
916,4qyi,0.252,,1.95,C 1 2 1
917,5qp9,0.2532,,1.72,P 21 21 21
918,3qo5,0.22,,2.3,P 61 2 2
919,4l4p,0.25825,,1.9,P 21 21 21
920,1ys9,0.252,,2.56,C 2 2 2
921,5z1g,0.2974,,2.29,P 1 21 1
922,6t5v,0.2052,,1.31,P 21 21 21
923,3tk4,0.21,,1.5,P 1
924,5fg7,0.2308,,2.7,P 1 21 1
925,1ysp,0.25855,,1.8,C 1 2 1
926,4qbu,0.2005,,1.7,P 21 21 21
927,6qlz,,,2.34,P 21 21 21
928,8a14,0.1766,,1.9,P 21 21 21
929,5b1z,0.27388,,2.15,C 2 2 21
930,6l0w,0.2244,,1.59,P 21 21 21
931,3a42,0.268,,2.6,P 65
932,6ai3,0.2581,,3.3,I 41
933,8qlq,0.227494,,1.64,P 21 21 21
934,3w8m,0.2059,,1.46,P 63
935,4bkp,0.2309,,2.7,I 2 2 2
936,8bgb,0.1958,,1.7,P 1 21 1
937,5qc4,0.21,,2.0,P 1
938,4f54,0.1994,,1.6,C 2 2 21
939,6kr6,0.2585,,2.9,P 21 21 21
940,1af3,0.273,,2.5,P 41 21 2
941,7z28,0.1822,,1.55,P 2 21 21
942,6lf8,0.2851,,2.5,C 1 2 1
943,4qrd,0.2829,,1.97,P 21 21 21
944,1hxk,0.216,,1.5,P 21 21 21
945,1aem,,,2.1,P 21 21 21
946,7t33,0.2212,,2.3,P 31
947,5w8s,0.2226,,2.1,P 32 2 1
948,5b0n,0.259,,1.8,P 21 21 21
949,5adp,0.22,,2.13,P 1 21 1
950,1l4i,0.244,,2.2,P 21 21 21
951,4bpv,0.25537,,2.0,P 1 21 1
952,8bet,0.2222,,2.38,P 1 21 1
953,5vuz,0.214,,1.97,P 21 21 21
954,5tht,0.212,,2.41,P 1 21 1
955,1w3m,0.171,,1.0,P 1
956,3l7k,0.2518,,3.1,P 41 21 2
957,3ln7,0.314,,3.2,C 1 2 1
958,6yn3,0.1666,,1.49,C 1 2 1
959,6axl,0.217,,2.4,P 1 21 1
960,2b81,0.21833,,2.5,P 21 21 21
961,3l6o,0.258,,2.2,P 1 21 1
962,2vx5,0.1687,,1.47,P 61 2 2
963,5cqn,0.207,,1.61,C 2 2 21
964,4cqx,0.22612,,2.3,P 1 21 1
965,3co3,0.254,,2.16,C 2 2 21
966,3hx8,0.186,,1.45,P 1
967,7ysi,0.1875,,1.2,P 21 21 21
968,4yt9,0.177,,1.5,P 21 21 21
969,6bot,0.245,,2.3,P 1
970,2hza,0.274,,2.1,P 31 2 1
971,6b6n,0.1566,,2.0,P 21 21 21
972,1t4f,0.231,,1.9,P 21 21 21
973,5qew,0.231,,1.83,P 31 2 1
974,4hyc,0.341,,3.95,P 1 2 1
975,6f6e,0.2008,,1.63,C 1 2 1
976,6qlq,0.1827,,1.08,P 21 21 21
977,5faz,0.2546,,1.4,P 1
978,6w7c,0.289,,3.4,P 21 21 21
979,4lbu,0.1517,,1.17,C 1 2 1
980,7cho,0.2473,,2.56,C 1 2 1
981,4qv5,0.217,,2.7,P 1 21 1
982,5qm8,0.291,,1.96,C 1 2 1
983,5f8h,0.2442,,2.45,P 21 21 21
984,8aej,0.2608,,1.84,P 31 2 1
985,7ag0,0.28,,3.1,P 61 2 2
986,5w7r,0.251,,2.5,I 4 2 2
987,2auh,0.254,,3.2,P 62
988,5yp3,0.28627,,2.44,P 21 21 21
989,7a1b,0.1925,,1.29,P 1
990,7ci0,0.1908,,1.7,P 21 2 21
991,2i5h,0.2581,,1.74,C 1 2 1
992,7l0n,0.3247,,2.78,P 1 21 1
993,4ag3,0.1925,,1.8,P 2 21 21
994,4l1p,0.24,,2.12,P 21 21 21
995,3cmz,0.2421,,1.92,P 21 21 21
996,5aw5,0.316,,2.9,C 1 2 1
997,7w3p,0.2342,,1.77,P 41 21 2
998,7qsb,0.2924,,1.84,P 21 21 21
999,3kxp,0.245,,2.26,P 21 21 21
1000,3icy,0.2483,,2.68,C 1 2 1
1001,5qqw,0.2344,,1.56,C 1 2 1
1002,3cgg,0.212,,2.0,P 21 21 21
1003,8tit,0.2402,,2.84,I 2 2 2
1004,4b7o,0.2807,,2.32,C 1 2 1
1005,3l41,0.188,,1.45,P 21 21 21
1006,4cez,0.1926,,1.7,P 31
1007,2iaj,0.284,,2.5,C 1 2 1
1008,1yym,0.268,,2.2,P 1 21 1
1009,5q9t,0.2342,,1.37,P 21 21 21
1010,4z0b,0.3086,,3.2,C 1 2 1
1011,7kvs,0.2746,,2.5,C 1 2 1
1012,1b6a,0.216,,1.6,C 2 2 21
1013,5a80,0.2489,,2.28,P 21 21 2
1014,7cme,0.2488,,2.45,P 21 21 21
1015,6cnz,0.216,,2.15,P 1 21 1
1016,5vw7,0.156,,1.61,P 32 2 1
1017,5avj,0.1838,,1.45,P 43 21 2
1018,6awr,0.208,,1.6,P 1 21 1
1019,3qq7,0.2355,,2.65,P 31
1020,5hz4,0.283,,2.5,P 1 21 1
1021,6bd1,0.2513,,2.35,P 1
1022,6t7f,0.2561,,2.58,H 3 2
1023,3boe,0.186,,1.4,P 21 21 2
1024,4anv,0.29737,,2.13,C 1 2 1
1025,4b2b,0.20367,,1.36,P 1 21 1
1026,3fh3,0.2589,,2.1,P 21 21 21
1027,3a46,0.261,,2.2,P 1 21 1
1028,2hz7,0.242,,2.3,P 21 21 21
1029,7lip,0.2052,,1.48,C 1 2 1
1030,8ask,0.2298,,2.96,H 3
1031,7lcu,0.1944,,1.24,C 1 2 1
1032,3w7m,0.246,,2.4,P 21 21 21
1033,6f75,0.18114,,1.89,P 63 2 2
1034,2cl4,0.199,,1.8,P 42 21 2
1035,3tg6,0.29633,,3.0,P 21 3
1036,4ba5,0.2325,,1.76,P 1
1037,8tci,0.2567,,3.19,P 1 21 1
1038,1f9u,0.266,,1.7,P 1 21 1
1039,4l01,0.23266,,1.9,P 1 21 1
1040,3qjr,0.367,,3.2,P 43 21 2
1041,6ta2,0.2209,,1.68,P 1 21 1
1042,6ceq,0.236,,1.67,P 32 2 1
1043,2yq1,0.2456,,2.3,P 1
1044,4z1q,0.2423,,1.4,P 1
1045,7aqi,0.2656,,1.7,C 1 2 1
1046,4coc,0.2232,,1.59,C 1 2 1
1047,8aqg,0.1162,,0.95,P 1 21 1
1048,6aec,0.2221,,1.72,P 41 21 2
1049,4lb4,0.1314,,0.8,P 1 21 1
1050,3ted,0.249,,2.0,P 1 21 1
1051,3ley,0.215,,1.99,P 1 21 1
1052,2brx,0.237,,2.4,I 2 3
1053,1fiv,,,2.0,P 31 2 1
1054,2atz,0.25567,,2.0,P 61 2 2
1055,5qrg,0.2814,,1.95,P 41 2 2
1056,2qe3,0.2634,,2.5,P 41 3 2
1057,5l9q,0.1983,,1.75,P 1 21 1
1058,7vxq,0.1933,,1.77,P 1 21 1
1059,9icx,,,2.6,P 21 21 2
1060,5qci,0.193,,2.18,C 1 2 1
1061,6z3c,0.2226,,1.74,P 21 21 21
1062,3ld7,0.194,,1.55,C 1 2 1
1063,7cjt,0.2764,,2.47,P 1 21 1
1064,6fi8,0.2383,,2.6,P 41 21 2
1065,6qoh,0.2246,,1.66,P 21 21 21
1066,6tjm,0.218,,1.85,C 2 2 2
1067,1bc3,0.211,,1.95,H 3
1068,7qgi,0.2207,,1.65,P 21 21 21
1069,1ces,0.249,,2.7,P 21 21 2
1070,7b9t,0.1943,,1.15,C 2 2 21
1071,2z0a,0.23828,,1.85,P 1 21 1
1072,8be3,0.2303,,1.85,P 1 21 1
1073,4l7l,0.2229,,2.1,P 1 21 1
1074,5ar7,0.225,,2.71,P 32 2 1
1075,1z5h,0.27,,2.3,P 21 21 2
1076,6vuj,0.2082,,1.48,P 21 21 21
1077,2qjc,0.281,,2.05,P 21 21 21
1078,240l,,,1.75,P 32 2 1
1079,1ffw,0.273,,2.7,P 21 21 21
1080,5f8y,0.15207,,1.7,P 21 21 21
1081,3lfe,0.274,,2.3,P 21 21 21
1082,3bkm,0.226,,1.6,P 21 21 21
1083,3qm8,0.164,,0.91,P 1 21 1
1084,8idu,0.1692,,2.0,C 2 2 21
1085,7t5a,0.2637,,2.16,P 1 21 1
1086,2yoi,0.1844,,1.3,C 1 2 1
1087,1aef,,,2.1,P 21 21 21
1088,3b7h,0.24945,,2.0,P 21 21 2
1089,1bmz,0.244,,2.0,P 21 21 2
1090,6i86,0.1985,,2.0,P 41 21 2
1091,5kzq,0.2447,,2.8,P 41 21 2
1092,6kql,0.246,,2.89,C 1 2 1
1093,5i8e,0.2481,,2.65,I 4
1094,5ah2,0.2314,,2.13,P 1 21 1
1095,6yna,0.189,,1.47,P 21 21 21
1096,2fav,0.206,,1.8,P 1 21 1
1097,236l,,,1.9,P 32 2 1
1098,5vyu,0.264,,2.2,P 43 21 2
1099,7cpc,0.2695,,2.8,I 4
1100,2ywf,0.251,,2.24,C 2 2 21
1101,6qgk,0.2021,,1.8,P 21 21 21
1102,7q9q,0.2736,,1.45,P 1
1103,2wan,0.21035,,1.65,C 1 2 1
1104,3lnl,0.1905,,2.0,H 3
1105,3cma,0.245,,2.8,C 2 2 21
1106,8i69,0.22482,,2.0,P 1 21 1
1107,6qpq,,,2.1,P 2 21 21
1108,4lkd,0.247,,2.31,C 1 2 1
1109,7ao7,0.2536,,2.55,P 21 21 21
1110,1qt8,,,1.9,P 32 2 1
1111,5ynp,0.2329,,2.27,P 21 2 21
1112,5w19,0.244,,2.1,P 2 21 21
1113,5z1a,0.1897,,1.86,I 2 2 2
1114,7th1,0.1886,,1.52,P 21 21 21
1115,7yyy,0.3488,,2.2,P 1 21 1
1116,2b5j,0.304,,2.9,C 1 2 1
1117,7z2k,0.2143,,1.65,P 21 21 21
1118,7tcb,0.2647,,2.7,P 1 21 1
1119,4a8y,0.255,,3.41,P 1 21 1
1120,7lbs,0.2601,,2.8,P 1 21 1
1121,5b5b,0.22991,,2.0,C 1 2 1
1122,4yub,0.24285,,2.9,P 21 21 21
1123,1lk6,0.266,,2.8,P 1 21 1
1124,8qh6,0.2082,,1.8,P 32 2 1
1125,6tg7,0.2253,,1.65,P 21 21 21
1126,2ql8,,,1.5,P 43 21 2
1127,3qc3,0.2112,,2.2,P 41
1128,8a8y,0.201,,2.1,C 2 2 21
1129,4bhb,0.2938,,1.8,P 21 21 2
1130,3f8o,0.23992,,1.72,P 21 21 21
1131,5a1i,0.124,,1.09,I 2 2 2
1132,6bm6,0.2039,,1.5,P 21 21 21
1133,2z21,0.235,,1.8,P 1 21 1
1134,2vz1,0.223,,1.91,C 1 2 1
1135,2vx1,0.2102,,1.65,P 1 21 1
1136,2qz8,0.255,,2.16,C 2 2 21
1137,3i0w,0.219,,1.73,P 65 2 2
1138,6qju,0.16,,1.2,P 21 21 21
1139,5ywf,0.262,,2.21,P 1 21 1
1140,6aw4,0.17,,1.5,P 62
1141,4ckv,0.2053,,2.06,C 2 2 21
1142,1avl,0.202,,2.8,C 1 2 1
1143,5t8v,0.2673,,2.8,P 1 21 1
1144,8t3i,0.2229,,1.57,P 1 21 1
1145,9bic,0.2038,,2.05,P 2 21 21
1146,8b29,0.2098,,1.7,P 1 21 1
1147,1ljk,0.219,,2.1,P 1 21 1
1148,3b02,0.22,,1.92,I 41 3 2
1149,5w0j,0.2769,,2.2,H 3 2
1150,6vw9,0.2145,,1.8,C 1 2 1
1151,6qsb,0.2232,,1.99,C 2 2 21
1152,6lkj,0.2294,,2.0,P 21 21 21
1153,1t6x,0.291,,2.29,P 1 21 1
1154,3cj7,0.20568,,1.8,P 21 21 21
1155,5tdc,0.18,,1.61,P 21 21 21
1156,2q9f,0.216,,1.9,I 41 2 2
1157,5kyd,0.213,,1.62,P 21 21 21
1158,5b0z,0.2537,,1.99,P 21 21 21
1159,2a72,0.2489,,2.0,P 1 21 1
1160,3tk9,0.277,,2.2,P 41 21 2
1161,4ln5,0.2199,,2.1,C 2 2 21
1162,2i60,0.281,,2.4,P 1 21 1
1163,2yx6,0.262,,2.0,C 1 2 1
1164,5fax,0.303,,2.0,P 1 21 1
1165,6lce,0.182,,1.78,P 21 21 21
1166,1i83,0.248,,2.0,P 21 21 21
1167,6bkv,0.2024,,2.35,P 32 2 1
1168,7kup,0.2182,,1.44,P 3 2 1
1169,4bde,0.215,,2.55,P 32 2 1
1170,1w30,0.244,,1.9,P 31 2 1
1171,3l25,0.2074,,2.0,P 21 21 21
1172,1blf,0.28,,2.8,P 21 21 21
1173,4qfd,0.287,,2.85,P 32 2 1
1174,4i1v,0.2518,,2.6,P 32 2 1
1175,4z2m,0.2465,,2.98,P 21 2 21
